Year,state,shape,total duration,mean duration,number of sightings
1995,ky,disk,300.0,300.0,1
1995,ky,polygonal,300.0,300.0,1
1995,ky,triangular,660.0,330.0,2
1995,ky,unknown/other,2220.0,1110.0,2
1995,la,formation,600.0,600.0,1
1995,la,unknown/other,120.0,60.0,2
1995,ma,circular,30.0,30.0,1
1995,ma,formation,300.0,300.0,1
1995,ma,light,1920.0,640.0,3
1995,ma,ovoid,70.0,35.0,2
1995,ma,spherical,15.0,15.0,1
1995,ma,triangular,120.0,120.0,1
1995,ma,unknown/other,345.0,172.5,2
1995,md,disk,300.0,300.0,1
1995,md,fireball,4.0,4.0,1
1995,md,ovoid,600.0,600.0,1
1995,md,unknown/other,6.0,2.0,3
1995,me,changing,1200.0,1200.0,1
1995,me,unknown/other,30.0,30.0,1
1995,mi,changing,2700.0,2700.0,1
1995,mi,circular,1035.0,345.0,3
1995,mi,disk,970.0,323.3333333333333,3
1995,mi,light,5.0,5.0,1
1995,mi,polygonal,45.0,45.0,1
1995,mi,spherical,15.0,15.0,1
1995,mi,triangular,4860.0,810.0,6
1995,mi,unknown/other,10560.0,2640.0,4
1995,mn,disk,180.0,180.0,1
1995,mn,unknown/other,180.0,180.0,1
1995,mo,cylindrical,55.0,11.0,5
1995,mo,spherical,1200.0,1200.0,1
1995,mo,triangular,660.0,330.0,2
1995,ms,cylindrical,600.0,300.0,2
1995,ms,triangular,300.0,300.0,1
1995,ms,unknown/other,30.0,30.0,1
1995,mt,fireball,10.0,10.0,1
1995,mt,ovoid,600.0,600.0,1
1995,mt,unknown/other,120.0,120.0,1
1995,nc,circular,20.0,10.0,2
1995,nc,cylindrical,300.0,300.0,1
1995,nc,light,300.0,300.0,1
1995,nc,ovoid,180.0,180.0,1
1995,nc,triangular,2730.0,910.0,3
1995,nc,unknown/other,600.0,600.0,1
1995,nd,triangular,20.0,20.0,1
1995,nd,unknown/other,90.0,90.0,1
1995,ne,disk,900.0,450.0,2
1995,ne,light,1800.0,1800.0,1
1995,ne,unknown/other,60.0,60.0,1
1995,nh,cylindrical,19800.0,19800.0,1
1995,nh,ovoid,30.0,30.0,1
1995,nh,polygonal,240.0,240.0,1
1995,nh,triangular,600.0,600.0,1
1995,nj,disk,120.0,120.0,1
1995,nj,fireball,120.0,120.0,1
1995,nj,light,600.0,600.0,1
1995,nj,ovoid,90.0,90.0,1
1995,nj,triangular,900.0,900.0,1
1995,nm,changing,3600.0,3600.0,1
1995,nm,cylindrical,3600.0,3600.0,1
1995,nm,disk,30.0,30.0,1
1995,nm,light,120.0,120.0,1
1995,nm,triangular,20.0,20.0,1
1995,nm,unknown/other,120.0,120.0,1
1995,nv,changing,300.0,300.0,1
1995,nv,cylindrical,300.0,300.0,1
1995,nv,flash,300.0,300.0,1
1995,nv,formation,60.0,60.0,1
1995,nv,light,735.0,367.5,2
1995,nv,polygonal,60.0,60.0,1
1995,nv,spherical,900.0,900.0,1
1995,nv,triangular,300.0,300.0,1
1995,nv,unknown/other,1502.0,751.0,2
1995,ny,circular,35.0,17.5,2
1995,ny,disk,3300.0,1100.0,3
1995,ny,flash,600.0,600.0,1
1995,ny,formation,20.0,20.0,1
1995,ny,light,4870.0,608.75,8
1995,ny,ovoid,600.0,600.0,1
1995,ny,polygonal,30.0,30.0,1
1995,ny,triangular,790.0,158.0,5
1995,ny,unknown/other,1268.0,253.6,5
1995,oh,circular,300.0,300.0,1
1995,oh,cylindrical,2100.0,1050.0,2
1995,oh,disk,1815.0,907.5,2
1995,oh,oviod,1800.0,1800.0,1
1995,oh,ovoid,309.0,309.0,1
1995,oh,polygonal,1500.0,750.0,2
1995,oh,spherical,20.0,20.0,1
1995,oh,triangular,1028.0,342.6666666666667,3
1995,oh,unknown/other,2250.0,375.0,6
1995,ok,disk,14400.0,14400.0,1
1995,ok,spherical,210.0,105.0,2
1995,or,circular,300.0,300.0,1
1995,or,disk,4.0,4.0,1
1995,or,fireball,25.0,25.0,1
1995,or,light,4080.0,1360.0,3
1995,or,triangular,300.0,300.0,1
1995,or,unknown/other,109920.0,54960.0,2
1995,pa,circular,2400.0,1200.0,2
1995,pa,fireball,10.0,10.0,1
1995,pa,light,1380.0,690.0,2
1995,pa,oviod,240.0,240.0,1
1995,pa,polygonal,690.0,345.0,2
1995,pa,spherical,135.0,67.5,2
1995,pa,triangular,2100.0,700.0,3
1995,pa,unknown/other,1125.0,281.25,4
1995,pr,unknown/other,18900.0,9450.0,2
1995,sc,light,15.0,15.0,1
1995,sc,ovoid,900.0,900.0,1
1995,sc,spherical,20.0,20.0,1
1995,sc,triangular,308.0,154.0,2
1995,sc,unknown/other,180.0,180.0,1
1995,sd,circular,15.0,15.0,1
1995,sd,light,180.0,180.0,1
1995,sd,ovoid,120.0,120.0,1
1995,tn,cylindrical,5.0,5.0,1
1995,tn,disk,180.0,180.0,1
1995,tn,formation,900.0,900.0,1
1995,tn,light,3600.0,3600.0,1
1995,tn,ovoid,10.0,10.0,1
1995,tn,triangular,600.0,600.0,1
1995,tx,circular,4620.0,1155.0,4
1995,tx,cylindrical,360.0,360.0,1
1995,tx,disk,120.0,120.0,1
1995,tx,fireball,10.0,10.0,1
1995,tx,light,9638.0,1606.3333333333333,6
1995,tx,polygonal,7200.0,7200.0,1
1995,tx,spherical,7862.0,1965.5,4
1995,tx,triangular,360.0,180.0,2
1995,tx,unknown/other,610.0,203.33333333333334,3
1995,ut,disk,1200.0,1200.0,1
1995,ut,flash,900.0,900.0,1
1995,ut,light,600.0,600.0,1
1995,ut,triangular,600.0,600.0,1
1995,ut,unknown/other,1380.0,690.0,2
1995,va,circular,30.0,30.0,1
1995,va,light,600.0,600.0,1
1995,va,spherical,2100.0,1050.0,2
1995,va,triangular,720.0,360.0,2
1995,va,unknown/other,304.0,152.0,2
1995,wa,circular,300.0,300.0,1
1995,wa,disk,2148.0,537.0,4
1995,wa,fireball,315.0,105.0,3
1995,wa,light,8167.0,742.4545454545455,11
1995,wa,ovoid,86400.0,86400.0,1
1995,wa,polygonal,840.0,420.0,2
1995,wa,spherical,8.0,8.0,1
1995,wa,triangular,1260.0,252.0,5
1995,wa,unknown/other,427.0,142.33333333333334,3
1995,wi,circular,600.0,300.0,2
1995,wi,cylindrical,4500.0,4500.0,1
1995,wi,fireball,15.0,15.0,1
1995,wi,light,600.0,600.0,1
1995,wi,polygonal,1620.0,810.0,2
1995,wi,spherical,900.0,900.0,1
1995,wi,triangular,30.0,30.0,1
1995,wi,unknown/other,180.0,180.0,1
1995,wv,light,600.0,600.0,1
1996,ak,light,30.0,30.0,1
1996,ak,triangular,120.0,120.0,1
1996,al,disk,60.0,60.0,1
1996,al,light,10800.0,10800.0,1
1996,al,oviod,600.0,600.0,1
1996,al,triangular,180.0,180.0,1
1996,ar,changing,5280.0,5280.0,1
1996,ar,cylindrical,300.0,300.0,1
1996,ar,light,600.0,600.0,1
1996,ar,triangular,720.0,240.0,3
1996,az,changing,1800.0,1800.0,1
1996,az,disk,900.0,900.0,1
1996,az,light,3070.0,614.0,5
1996,az,ovoid,600.0,600.0,1
1996,az,spherical,30.0,30.0,1
1996,az,unknown/other,4210.0,1403.3333333333333,3
1996,ca,changing,450.0,225.0,2
1996,ca,circular,70.0,70.0,1
1996,ca,cylindrical,600.0,300.0,2
1996,ca,disk,10890.0,3630.0,3
1996,ca,fireball,46.5,11.625,4
1996,ca,formation,2760.0,1380.0,2
1996,ca,light,9226.0,576.625,16
1996,ca,ovoid,11342.0,2835.5,4
1996,ca,polygonal,3300.0,1100.0,3
1996,ca,spherical,930.0,232.5,4
1996,ca,triangular,2717.0,271.7,10
1996,ca,unknown/other,3546.0,443.25,8
1996,co,changing,3600.0,3600.0,1
1996,co,light,210.0,105.0,2
1996,co,triangular,180.0,180.0,1
1996,co,unknown/other,902.0,451.0,2
1996,ct,disk,50.0,50.0,1
1996,ct,light,3000.0,1500.0,2
1996,ct,oviod,360.0,180.0,2
1996,ct,polygonal,1200.0,600.0,2
1996,fl,changing,900.0,900.0,1
1996,fl,circular,4215.0,1405.0,3
1996,fl,cylindrical,10.0,10.0,1
1996,fl,disk,300.0,150.0,2
1996,fl,fireball,113.0,37.666666666666664,3
1996,fl,light,555.0,111.0,5
1996,fl,polygonal,300.0,300.0,1
1996,fl,spherical,1050.0,350.0,3
1996,fl,triangular,635.0,158.75,4
1996,ga,disk,390.0,130.0,3
1996,ga,polygonal,45.0,45.0,1
1996,ga,triangular,30.0,30.0,1
1996,ia,disk,900.0,900.0,1
1996,ia,triangular,40.0,20.0,2
1996,id,formation,180.0,180.0,1
1996,id,light,60.0,60.0,1
1996,id,ovoid,4.0,4.0,1
1996,id,triangular,600.0,300.0,2
1996,il,circular,45.0,45.0,1
1996,il,formation,240.0,240.0,1
1996,il,light,300.0,300.0,1
1996,il,ovoid,300.0,300.0,1
1996,il,spherical,1200.0,1200.0,1
1996,il,triangular,1200.0,1200.0,1
1996,il,unknown/other,600.0,600.0,1
1996,in,circular,20.0,10.0,2
1996,in,polygonal,40.0,20.0,2
1996,in,spherical,900.0,900.0,1
1996,in,triangular,120.0,120.0,1
1996,ks,light,300.0,300.0,1
1996,ks,unknown/other,155.0,77.5,2
1996,ky,polygonal,10.0,10.0,1
1996,ky,triangular,480.0,480.0,1
1996,ky,unknown/other,1500.0,1500.0,1
1996,la,changing,640.0,213.33333333333334,3
1996,la,light,3600.0,3600.0,1
1996,la,spherical,90.0,90.0,1
1996,la,triangular,480.0,240.0,2
1996,la,unknown/other,30.0,30.0,1
1996,ma,circular,70.0,35.0,2
1996,ma,disk,2700.0,2700.0,1
1996,ma,formation,300.0,300.0,1
1996,ma,light,60.0,60.0,1
1996,ma,ovoid,180.0,180.0,1
1996,ma,triangular,1840.0,920.0,2
1996,md,disk,900.0,450.0,2
1996,md,triangular,46.0,23.0,2
1996,me,disk,900.0,900.0,1
1996,me,light,9.0,9.0,1
1996,me,polygonal,10.0,10.0,1
1996,me,triangular,240.0,240.0,1
1996,mi,disk,10.0,10.0,1
1996,mi,fireball,5.0,5.0,1
1996,mi,flash,5.0,5.0,1
1996,mi,light,6000.0,1000.0,6
1996,mi,polygonal,5400.0,5400.0,1
1996,mi,triangular,600.0,600.0,1
1996,mi,unknown/other,90.0,45.0,2
1996,mn,circular,2400.0,1200.0,2
1996,mn,flash,123.0,61.5,2
1996,mn,ovoid,1800.0,1800.0,1
1996,mn,polygonal,300.0,300.0,1
1996,mn,unknown/other,1260.0,630.0,2
1996,mo,cylindrical,2700.0,2700.0,1
